profile_code,section,name,slug,parameter_type,unit,normal_value,is_required,order,options,sentence_template,narrative_role,omit_if_values_json,join_label
USG_ABD,Liver,Liver Size,liver_size,number,cm,13,false,10,,"{name}: {value}{unit}, smooth margins.",finding,,
USG_ABD,Liver,Liver Echotexture,liver_echotexture,dropdown,,,false,12,Normal|Fatty infiltration|Coarse,Liver echotexture: {value}.,finding,,
USG_ABD,Gallbladder & Biliary,Gallbladder Status,gallbladder_status,dropdown,,,false,20,Normal|Contracted|Cholecystectomy|Wall thickening,Gallbladder: {value}.,finding,,
USG_ABD,Gallbladder & Biliary,CBD Diameter,cbd_diameter,number,mm,6,false,22,,CBD measures {value}{unit}.,finding,,
USG_ABD,Pancreas,Pancreas Appearance,pancreas,short_text,,,false,30,,{name}: {value}.,finding,,
USG_ABD,Spleen,Spleen Length,spleen_length,number,cm,11,false,40,,Spleen length {value}{unit}.,finding,,
USG_ABD,Kidneys,Right Kidney Length,rk_length,number,cm,10,false,50,,"Right kidney {value}{unit}, normal cortical thickness.",finding,,
USG_ABD,Kidneys,Left Kidney Length,lk_length,number,cm,10,false,52,,"Left kidney {value}{unit}, normal cortical thickness.",finding,,
USG_ABD,Kidneys,Renal Hydronephrosis,renal_hydronephrosis,dropdown,,,false,54,None|Right|Left|Bilateral,Hydronephrosis: {value}.,finding,"[""None""]",
USG_ABD,Kidneys,Renal Calculi,renal_calculi,checklist,,,false,56,Right renal calculus|Left renal calculus|Bilateral calculi,Renal calculi: {value}.,finding,,; 
USG_ABD,Bladder,Urinary Bladder,bladder,short_text,,,false,70,,{name}: {value}.,finding,,
USG_ABD,Pelvic Organ,Uterus / Prostate,pelvic_organ,short_text,,,false,80,,{name}: {value}.,finding,,
USG_ABD,Vessels,Aorta / IVC,aorta_ivc,short_text,,,false,90,,{name}: {value}.,finding,,
USG_ABD,Peritoneum,Ascites,ascites,dropdown,,,false,95,None|Mild|Moderate|Gross,Ascites: {value}.,finding,"[""None""]",
USG_ABD,Impression,Impression,impression,long_text,,,false,200,,{value},impression_hint,,
USG_ABD,Limitations,Limitations,limitations,long_text,,,false,210,,{value},limitation_hint,,
