profile_code,section,name,slug,parameter_type,unit,normal_value,is_required,order,options,sentence_template,narrative_role,omit_if_values_json,join_label
USG_KUB,Kidneys,Right Kidney Length,rk_length,number,cm,10,false,10,,Right kidney length {value}{unit}.,finding,,
USG_KUB,Kidneys,Left Kidney Length,lk_length,number,cm,10,false,12,,Left kidney length {value}{unit}.,finding,,
USG_KUB,Kidneys,Right Hydronephrosis,right_hydro,dropdown,,,false,14,None|Mild|Moderate|Severe,Right hydronephrosis: {value}.,finding,"[""None""]",
USG_KUB,Kidneys,Left Hydronephrosis,left_hydro,dropdown,,,false,16,None|Mild|Moderate|Severe,Left hydronephrosis: {value}.,finding,"[""None""]",
USG_KUB,Ureters,Ureteric Calculi,ureteric_calculi,checklist,,,false,18,Right ureteric calculus|Left ureteric calculus|Bilateral ureteric calculi,Ureteric calculi: {value}.,finding,,; 
USG_KUB,Bladder,Bladder Wall,bladder_wall,short_text,,,false,20,,{name}: {value}.,finding,,
USG_KUB,Bladder,Pre-void Volume,prevoid_volume,number,ml,,false,22,,Pre-void volume: {value}{unit}.,finding,,
USG_KUB,Bladder,Post-void Residual,pvr,number,ml,,false,24,,Post-void residual: {value}{unit}.,finding,,
USG_KUB,Bladder,PVR Assessment,pvr_assessment,dropdown,,,false,26,Normal|Raised,PVR assessment: {value}.,finding,,
USG_KUB,Bilateral,Ureteric Jets,ureteric_jets,dropdown,,,false,28,Present bilaterally|Present right|Present left|Not visualized,Ureteric jets: {value}.,finding,,
USG_KUB,Impression,Impression,impression,long_text,,,false,200,,{value},impression_hint,,
USG_KUB,Limitations,Limitations,limitations,long_text,,,false,210,,{value},limitation_hint,,
